Terminal log file
Date: 31.07.2023 - 13:07:38
-----------------------------------------------
13:08:13.734> 
Stepper motor with reduction!!! (1/6)13:08:13.734> 
13:08:13.734> 
Total rotation time 97.5 minutes13:08:14.077> 
Time while sunlit 54.5 minutes13:08:14.077> 
Time in shadow 43 minutes13:08:14.077> 
13:08:14.077> 
Rotation angle 20113:08:14.077> 
Motor step 0.05 degrees13:08:14.077> 
Stepper motor should make 13440 steps13:08:14.077> 
The sunlit side lasts 3270 seconds13:08:14.077> 
One step in 243304 microseconds13:08:14.077> 
Total time of orbit 585013:08:14.077> 
13:08:14.077> 
**********************************13:08:14.077> 
13:08:14.077> 
The current angle is:;  27.69;  Step number is:;  1845;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:15:49.056> 
The current angle is:;  28.30;  Step number is:;  1886;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:15:59.090> 
The current angle is:;  28.92;  Step number is:;  1927;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:16:09.075> 
The current angle is:;  29.53;  Step number is:;  1968;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:16:19.144> 
The current angle is:;  30.15;  Step number is:;  2009;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:16:29.079> 
The current angle is:;  30.76;  Step number is:;  2050;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:16:39.103> 
The current angle is:;  31.38;  Step number is:;  2091;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:16:49.126> 
The current angle is:;  31.99;  Step number is:;  2132;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:16:59.080> 
The current angle is:;  32.61;  Step number is:;  2173;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:17:09.108> 
The current angle is:;  33.22;  Step number is:;  2214;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:17:19.078> 
The current angle is:;  33.84;  Step number is:;  2255;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:17:29.094> 
The current angle is:;  34.45;  Step number is:;  2296;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:17:39.088> 
The current angle is:;  35.07;  Step number is:;  2337;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:17:49.092> 
The current angle is:;  35.68;  Step number is:;  2378;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:17:59.082> 
The current angle is:;  36.30;  Step number is:;  2419;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:18:09.100> 
The current angle is:;  36.92;  Step number is:;  2460;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:18:19.101> 
The current angle is:;  37.53;  Step number is:;  2501;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:18:29.045> 
The current angle is:;  38.15;  Step number is:;  2542;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:18:39.091> 
The current angle is:;  38.76;  Step number is:;  2583;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:18:49.056> 
The current angle is:;  39.38;  Step number is:;  2624;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:18:59.065> 
The current angle is:;  39.99;  Step number is:;  2665;  The Sun light:;  1;  The shadow:;  0;  Cycle number:;  113:19:09.065> 
